Dimension,RMSE
266,0.12535547697091215
267,0.12540618266815604
268,0.12540808352877522
269,0.12544471336794813
270,0.12543761264737363
271,0.12542518664940028
272,0.12542464042389503
273,0.12543352766406998
274,0.12540388657481183
275,0.1253791840847101
276,0.12544926683250646
277,0.12546604236549358
278,0.1255157764793722
279,0.12551611311190203
280,0.1254906907980567
281,0.12549762076983237
282,0.12550044712489672
283,0.12550443960879884
284,0.12551019931655422
285,0.12547922358146674
286,0.1255073009655208
287,0.1254820822860437
288,0.12548891926221434
289,0.12533985474454523
290,0.1253600792613511
291,0.12536851528581186
292,0.12538122014201786
293,0.1255034443486958
294,0.1255295977597172
295,0.12549240871368275
296,0.1254644435823502
297,0.12545323481149429
298,0.12544912481621287
299,0.12543344471945664
300,0.1254385672921422
